Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A035620,바른손이앤에이,Optimistic,0.065,0.05,0.3,0.3,-0.0017595814009128867,-0.23868323506235173,0.7700836200836201
A067850,바이나믹,Conservative,0.095,-0.3451373638202268,0.25,0.25,,,
A067850,바이나믹,Base,0.08,-0.3351373638202268,0.3,0.3,,,
A067850,바이나믹,Optimistic,0.065,-0.3251373638202268,0.35,0.35,,,
A046390,삼화네트웍스,Conservative,0.095,0.04,0.2,0.2,0.0005552465951167725,-0.058398790104098805,0.6799512524512524
A046390,삼화네트웍스,Base,0.08,0.05,0.25,0.25,0.0012846751149035904,-0.14426330082164904,0.6799512524512524
A046390,삼화네트웍스,Optimistic,0.065,0.05,0.3,0.3,0.003083220275768617,-0.3093409489775634,0.6799512524512524
A086980,쇼박스,Conservative,0.095,-0.0596437797832303,0.2,0.2,-0.00019529795177128,0.04036861363363782,0.32479816479816476
A086980,쇼박스,Base,0.08,-0.0496437797832303,0.25,0.25,-0.00029429473541188445,0.04279549956264769,0.32479816479816476
A086980,쇼박스,Optimistic,0.065,-0.0396437797832303,0.3,0.3,-0.00044212791637434176,0.045183538075490845,0.32479816479816476
A017050,스타맥스,Conservative,0.095,-0.0096166524705062,0.25,0.25,,,
A017050,스타맥스,Base,0.08,0.0003833475294938,0.3,0.3,,,
A017050,스타맥스,Optimistic,0.065,0.0103833475294938,0.35,0.35,,,
A043680,스톰이앤에프,Conservative,0.095,-0.10957029313282929,0.25,0.25,,,
A043680,스톰이앤에프,Base,0.08,-0.0995702931328293,0.3,0.3,,,
A043680,스톰이앤에프,Optimistic,0.065,-0.0895702931328293,0.35,0.35,,,
A253450,스튜디오드래곤,Conservative,0.095,0.04,0.3,0.3,0.007529798053624393,-1.075243010794215,0.310026825026825
A253450,스튜디오드래곤,Base,0.08,0.05,0.35,0.35,0.01626026102124819,-2.6463708714927963,0.310026825026825
A253450,스튜디오드래곤,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.03716631090571014,-5.676207266300359,0.310026825026825
A408900,스튜디오미르,Conservative,0.095,0.04,0.3,0.3,0.0021607415201119968,-0.3121046308716447,0.14578703703703708
